A=3239 B=9392 C=6890 X=173286305 Y=4846241599 Z=90424446302 M=175
A=7124 B=5972 C=7112 X=303789236 Y=1495810421 Z=86925785995 M=174
A=5826 B=8394 C=7868 X=790238857 Y=1530772303 Z=86029096589 M=168
A=8695 B=4201 C=7337 X=702104328 Y=4299210257 Z=77782705379 M=156
A=8413 B=5211 C=7195 X=151999525 Y=1208215187 Z=30957855338 M=99
A=3191 B=8379 C=9319 X=342129880 Y=2610943874 Z=60486795191 M=198
A=3483 B=7716 C=5110 X=274616445 Y=4989777157 Z=77237644192 M=59
A=2307 B=9899 C=9795 X=906163190 Y=2042905587 Z=81043085017 M=170
A=7593 B=4008 C=9570 X=536843858 Y=1051877561 Z=58948687659 M=114
A=3077 B=9245 C=6726 X=486322509 Y=3903836232 Z=80139281483 M=158
A=3724 B=7898 C=8203 X=905615635 Y=2623446798 Z=93583029975 M=157
A=2283 B=7764 C=6641 X=310915345 Y=4267545237 Z=95782020041 M=162
A=8295 B=3819 C=8310 X=828501221 Y=9045694706 Z=58354541023 M=58
A=9027 B=7093 C=8173 X=362529757 Y=3036328256 Z=23322530263 M=125
A=8545 B=8940 C=5363 X=548752401 Y=9507815862 Z=96539692547 M=70
A=9962 B=8026 C=8792 X=773669749 Y=9354241903 Z=23463833812 M=78
A=9329 B=3825 C=6567 X=290308827 Y=6267878744 Z=67518273484 M=159
A=7302 B=6014 C=7225 X=114087705 Y=1547310393 Z=55325970652 M=188
A=9896 B=4958 C=9718 X=995925661 Y=7401875410 Z=77859183942 M=159
A=9370 B=5295 C=9309 X=868276327 Y=2384979718 Z=55399263525 M=62
A=9605 B=6591 C=8811 X=566324748 Y=7953676321 Z=86813053009 M=79
A=5687 B=8044 C=6786 X=382264106 Y=3346733756 Z=90466609923 M=108
A=8047 B=4616 C=7932 X=319406178 Y=6351332448 Z=88433891986 M=142
A=9380 B=3015 C=7402 X=765932744 Y=7214612643 Z=31629023208 M=122
A=2913 B=5560 C=8084 X=265530496 Y=7269665285 Z=99352009204 M=121
A=3403 B=5512 C=8551 X=902952005 Y=6076696721 Z=11293754434 M=161
A=2180 B=5070 C=9021 X=785374766 Y=5445657153 Z=26516892063 M=143
