A=3415 B=6068 C=7056 X=224660391 Y=9266691507 Z=51386989514 M=7303
A=2812 B=3407 C=5214 X=949015457 Y=3804716059 Z=90190635323 M=5273
A=8407 B=3236 C=7405 X=133153660 Y=8326903042 Z=73896445811 M=8510
A=9811 B=7027 C=7798 X=269449544 Y=4573530873 Z=67723340012 M=5796
A=3109 B=9181 C=9881 X=866550888 Y=1434246352 Z=56455579171 M=4642
A=3918 B=3844 C=5015 X=600220246 Y=7990054127 Z=37226548866 M=1992
A=8023 B=5581 C=7352 X=933263825 Y=1660329758 Z=28847245903 M=8576
A=8376 B=5140 C=6871 X=370420328 Y=7398044683 Z=89993409391 M=9452
A=3908 B=6966 C=5203 X=295604093 Y=4932781116 Z=87874441647 M=2926
A=4361 B=7448 C=9249 X=864510823 Y=1505741667 Z=31336873331 M=1351
A=3899 B=7022 C=6474 X=732103929 Y=6207107493 Z=40439266577 M=3978
A=9516 B=6444 C=7729 X=212521271 Y=7036855928 Z=76100471782 M=8377
A=7614 B=9729 C=5876 X=596111739 Y=8313995183 Z=53991499017 M=9598
A=6512 B=4791 C=8572 X=809125078 Y=5676570365 Z=57521375353 M=6311
A=7389 B=4745 C=9360 X=366225034 Y=3050984178 Z=63796785426 M=6442
A=4664 B=5846 C=9970 X=328267032 Y=2563343107 Z=25328722365 M=3535
A=4417 B=4583 C=5889 X=175977316 Y=3093669163 Z=38862907607 M=2962
A=4950 B=6163 C=9807 X=255647721 Y=5516843062 Z=49999592185 M=4945
A=6775 B=3014 C=5174 X=163050316 Y=5367539555 Z=98357307921 M=7961
A=6885 B=5849 C=7226 X=499104548 Y=5223773502 Z=10675590083 M=7189
A=3925 B=6629 C=8744 X=146494172 Y=3449073894 Z=32217642356 M=2152
A=2708 B=6227 C=7252 X=864693598 Y=6131236685 Z=29671939555 M=6851
A=4494 B=8503 C=7410 X=869116915 Y=4858229280 Z=60543157477 M=4638
A=7317 B=7540 C=8621 X=863865971 Y=4653916625 Z=39988901312 M=6653
A=8393 B=3355 C=7377 X=678704989 Y=2190505152 Z=26836163687 M=9411
A=2609 B=6213 C=6647 X=424315528 Y=5757671405 Z=93649171678 M=2840
A=2932 B=8638 C=7768 X=521022857 Y=4303547531 Z=71057296111 M=5844
A=8262 B=4489 C=7481 X=354160757 Y=7496343736 Z=50769062106 M=8955
A=5037 B=4411 C=6614 X=487686829 Y=5360787921 Z=56149217146 M=3311
A=3117 B=5235 C=5881 X=709970269 Y=8965724728 Z=92048987555 M=3551
A=8550 B=9280 C=7364 X=391391634 Y=2675399742 Z=10434063183 M=4002
A=3300 B=6888 C=7784 X=206381509 Y=5352576417 Z=66444775609 M=2311
A=8681 B=7881 C=9771 X=697836640 Y=4952803168 Z=73314822845 M=7946
A=8765 B=9066 C=6388 X=570102780 Y=1521411868 Z=48567093032 M=2387
A=3149 B=4936 C=7253 X=677318173 Y=6510099483 Z=82338609081 M=5028
A=7796 B=4745 C=8448 X=592292056 Y=6165437433 Z=49445439581 M=5286
A=8925 B=9945 C=6356 X=486114025 Y=6801345877 Z=17262598163 M=4775
A=5861 B=7927 C=9711 X=578301934 Y=1586367186 Z=12644659258 M=2967
A=2607 B=5355 C=7723 X=308591797 Y=5461324396 Z=10665639628 M=7026
A=8998 B=4352 C=9732 X=500759895 Y=8840470577 Z=72316986374 M=1654
A=2790 B=7619 C=7862 X=531651297 Y=2900822510 Z=70529306419 M=7769
A=7282 B=8079 C=7630 X=737028017 Y=7014683080 Z=93073273328 M=6117
A=2830 B=4241 C=9443 X=704518403 Y=1193405676 Z=67107558869 M=2702
A=2998 B=3840 C=7948 X=143107559 Y=5969142285 Z=89875334407 M=9730
A=9988 B=3723 C=8008 X=554290087 Y=3669336349 Z=15996064661 M=6063
A=9887 B=4411 C=6843 X=866333438 Y=9918528192 Z=96705929524 M=1989
A=4069 B=3507 C=8319 X=598519870 Y=7127137836 Z=96162059373 M=2995
A=2205 B=6583 C=5072 X=182030280 Y=6737622017 Z=16471343190 M=9653
A=9686 B=5650 C=5810 X=755483713 Y=9417246585 Z=42970306497 M=7205
A=2425 B=7208 C=9247 X=333027046 Y=6486033667 Z=33730795839 M=6377
A=7188 B=4440 C=7008 X=450759579 Y=4259845312 Z=89864095339 M=8616
A=8285 B=9596 C=7384 X=596530875 Y=2086140079 Z=34236613655 M=9879
A=5494 B=5072 C=8563 X=561901358 Y=3335436125 Z=38641127962 M=1390
A=8002 B=3227 C=8226 X=645545491 Y=1764360080 Z=50645326675 M=4728
A=3521 B=4081 C=7436 X=137425185 Y=6987367142 Z=60391264029 M=9289
A=8296 B=4195 C=7509 X=631005625 Y=9522146470 Z=65040883606 M=7631
A=8524 B=6956 C=7707 X=242323453 Y=9836824936 Z=37993201677 M=9606
A=5246 B=9863 C=6322 X=566814255 Y=6226491134 Z=69212555281 M=4391
A=6142 B=6421 C=8008 X=994171373 Y=9756447117 Z=59653800253 M=6261
A=8384 B=3412 C=7121 X=474894424 Y=8888109769 Z=67082069743 M=1963
A=7586 B=7400 C=8353 X=431449368 Y=4530736022 Z=48863194748 M=5545
A=6666 B=4438 C=6357 X=753748352 Y=8594282407 Z=54933775710 M=7885
A=2722 B=5030 C=7257 X=118498921 Y=4382176957 Z=73466053389 M=7188
A=8114 B=5457 C=6788 X=914163307 Y=1891623264 Z=40986733529 M=3113
A=3681 B=8995 C=8893 X=726302839 Y=6056083131 Z=18946862782 M=7386
A=5081 B=9651 C=5441 X=885529260 Y=7983765634 Z=38180791957 M=2233
A=5243 B=6245 C=8658 X=861839889 Y=8241436191 Z=94798870538 M=4192
A=3277 B=8783 C=7715 X=953563716 Y=8061136486 Z=69769885398 M=7038
A=2387 B=4074 C=7862 X=127898959 Y=2648991939 Z=62130898186 M=2575
A=3962 B=4603 C=7339 X=275667652 Y=7304070894 Z=18077690407 M=7224
A=6692 B=8429 C=8893 X=929121675 Y=7506833800 Z=32175498246 M=7060
A=9434 B=5999 C=7627 X=747624228 Y=8411899161 Z=74369470928 M=2624
A=9887 B=4618 C=6818 X=645120489 Y=1217963051 Z=11773993688 M=8871
A=2648 B=5039 C=6304 X=222620160 Y=7816433862 Z=41993093766 M=9649
A=5896 B=5987 C=5402 X=898961954 Y=8720990282 Z=70537173307 M=4893
A=3043 B=3303 C=7048 X=480966954 Y=3940291011 Z=10391089437 M=5913
A=3434 B=9074 C=6496 X=191502227 Y=3415163562 Z=23249426629 M=5638
A=4543 B=8357 C=6858 X=377335842 Y=1934448665 Z=38517937945 M=2732
A=2573 B=3877 C=5773 X=124064157 Y=2103744379 Z=37300745613 M=8154
A=5643 B=5058 C=7554 X=210982390 Y=6545041618 Z=98142485883 M=4585
A=2171 B=6510 C=6471 X=548422932 Y=6266172554 Z=13589284821 M=4006
A=3827 B=8867 C=7873 X=632816920 Y=9362026664 Z=27368164502 M=2402
A=3141 B=7565 C=9232 X=269076854 Y=1531993171 Z=24330555603 M=8036
A=4788 B=9991 C=9497 X=384522007 Y=7639018222 Z=52974959056 M=2939
A=6561 B=9994 C=9788 X=447146264 Y=3277346363 Z=87656763520 M=9351
A=5450 B=4244 C=8092 X=262507590 Y=4164543646 Z=94117046863 M=6979
A=6581 B=8305 C=6812 X=938059802 Y=6528509907 Z=82578957432 M=3617
A=9440 B=7312 C=9873 X=575128180 Y=5713473736 Z=33617426629 M=2984
A=6498 B=5386 C=5863 X=261073411 Y=3139003499 Z=54637669227 M=9002
A=2182 B=6738 C=6502 X=995884967 Y=8200210962 Z=36336577907 M=3787
A=5520 B=6900 C=8577 X=309826529 Y=5601094664 Z=98615727128 M=9910
A=6411 B=5020 C=8000 X=956117654 Y=5660362238 Z=34430312934 M=8994
A=8040 B=7408 C=7171 X=592133272 Y=2816990572 Z=39491475760 M=4466
A=3790 B=9088 C=5035 X=489754685 Y=5322292769 Z=72126031425 M=2984
A=2902 B=3247 C=8244 X=666011755 Y=1471815598 Z=88589452470 M=5105
A=8915 B=9670 C=7594 X=379886384 Y=1847065137 Z=15968436481 M=3029
A=8788 B=8211 C=5189 X=671660462 Y=8858934486 Z=63140202606 M=6912
A=5930 B=8453 C=6722 X=683487465 Y=3147622671 Z=73693093809 M=8908
A=3493 B=7584 C=8124 X=746815220 Y=6702999917 Z=30350314045 M=2180
A=4505 B=7488 C=8449 X=584702793 Y=7296468023 Z=31266748636 M=8312
A=2613 B=6755 C=7233 X=950383031 Y=5172303257 Z=31625286088 M=6072
A=6402 B=3346 C=9811 X=134262779 Y=8364772922 Z=21673513776 M=1579
A=8088 B=5331 C=6780 X=842495723 Y=4259459759 Z=79825956194 M=7977
A=2364 B=8778 C=5366 X=183926515 Y=4803281505 Z=32692497124 M=3275
A=9113 B=6541 C=7670 X=349194633 Y=3191870406 Z=47685479628 M=3820
A=6560 B=3087 C=7136 X=219463559 Y=5553629375 Z=90131421816 M=2514
A=5186 B=4942 C=6435 X=400809928 Y=4092778814 Z=52833406452 M=1612
A=5702 B=9577 C=5306 X=431999657 Y=6424526574 Z=38565316867 M=2080
A=2833 B=6787 C=9839 X=562612153 Y=1919757315 Z=18767897345 M=7490
A=5010 B=3894 C=7236 X=122119946 Y=3623877062 Z=18951898199 M=8750
A=8437 B=7743 C=6777 X=990192093 Y=3122749137 Z=60449581551 M=4966
A=6345 B=6560 C=5783 X=367197307 Y=2336971012 Z=54768410266 M=4963
A=5202 B=6886 C=5761 X=688912942 Y=7194021415 Z=61243947935 M=3390
A=2467 B=4940 C=6258 X=663161763 Y=3581479341 Z=93991931655 M=6675
A=5312 B=7232 C=7299 X=316856836 Y=4875644301 Z=81467242630 M=6869
A=8897 B=8763 C=6138 X=214788127 Y=6685575665 Z=14753719859 M=1884
A=7187 B=3149 C=5023 X=380879774 Y=4302181011 Z=35614580785 M=1249
A=5945 B=4943 C=5097 X=876943332 Y=4885736719 Z=41617717794 M=7035
A=3364 B=9833 C=7693 X=789799257 Y=1472080724 Z=57294459905 M=8141
A=7069 B=9939 C=8480 X=806637224 Y=8830488402 Z=63016104740 M=4899
A=4398 B=7963 C=6236 X=558214663 Y=5859346388 Z=60478703349 M=8034
A=8003 B=3804 C=8368 X=977785223 Y=6623912915 Z=18459281282 M=3573
A=7742 B=9573 C=5870 X=691777610 Y=4310390218 Z=51505731807 M=5655
A=9830 B=3684 C=9233 X=253097407 Y=6430873062 Z=99214768042 M=9643
A=4909 B=6254 C=6540 X=562187696 Y=6684478852 Z=83004909778 M=4585
A=5581 B=4824 C=5471 X=455392709 Y=5877254950 Z=80147961589 M=1236
A=5768 B=4726 C=9703 X=195599221 Y=1466580552 Z=34180511164 M=5014
A=9470 B=6347 C=6611 X=829521067 Y=9089413005 Z=64558350040 M=9211
A=4192 B=8368 C=8144 X=489360659 Y=6867909157 Z=36942489821 M=8313
A=9143 B=4170 C=7610 X=260494337 Y=3675612267 Z=87456342729 M=6783
A=2527 B=6099 C=7251 X=664161200 Y=8020087578 Z=89742178075 M=3029
A=5882 B=9342 C=8610 X=149636482 Y=7646688179 Z=38839871496 M=3061
A=7008 B=3473 C=8481 X=277543704 Y=5126416433 Z=17297223454 M=2958
A=7415 B=3918 C=6330 X=725854638 Y=1206200174 Z=95946245501 M=2830
A=5182 B=5443 C=5667 X=282517222 Y=7667928399 Z=58580163664 M=3372
A=5124 B=4978 C=6545 X=581320653 Y=5606450488 Z=79331424657 M=9571
A=7334 B=7356 C=7514 X=551093959 Y=7952665636 Z=18000128903 M=7261
A=9703 B=6204 C=9706 X=270354320 Y=5247278802 Z=40799385578 M=8021
A=5744 B=4881 C=9520 X=665948306 Y=1082002224 Z=91266400391 M=8327
A=4579 B=7950 C=6875 X=156861560 Y=6048180339 Z=84600042313 M=2529
A=9074 B=4208 C=7847 X=810512410 Y=9560411546 Z=25553972826 M=6240
A=7860 B=8345 C=8033 X=645558307 Y=2518918077 Z=78384457194 M=7380
A=5452 B=5506 C=5417 X=355082667 Y=9124603518 Z=20071371694 M=4160
A=4805 B=3678 C=8705 X=836785721 Y=1817600547 Z=11567688572 M=1192
A=9571 B=4332 C=6671 X=297165401 Y=7915962603 Z=75190548974 M=7665
A=4328 B=6779 C=6049 X=779540438 Y=1338929524 Z=31345383992 M=9808
A=9938 B=9638 C=9101 X=824062382 Y=6470875667 Z=25801604479 M=5618
A=6119 B=7051 C=6017 X=898488283 Y=6723894161 Z=68985560225 M=1242
A=5231 B=9154 C=7530 X=595100224 Y=4030080446 Z=88883238787 M=8025
A=5381 B=7759 C=9477 X=309375631 Y=6479172856 Z=77476127479 M=1217
A=8617 B=8495 C=7530 X=312889621 Y=2978992857 Z=59787670803 M=9070
A=2994 B=6136 C=9227 X=701381406 Y=2128139714 Z=82129227638 M=2556
A=5959 B=4763 C=7005 X=108762836 Y=7822839953 Z=35444120869 M=8442
A=5362 B=3012 C=7053 X=506281359 Y=9483284339 Z=47459822347 M=7804
A=2320 B=4138 C=9844 X=477577315 Y=5915365476 Z=95538093433 M=3838
A=8796 B=4261 C=7813 X=420376296 Y=2595558574 Z=19506780500 M=4263
A=7789 B=4960 C=6750 X=530671632 Y=8575640765 Z=76802905268 M=4909
A=9257 B=8721 C=7371 X=185542886 Y=5449482587 Z=71599051338 M=4242
A=4266 B=7796 C=7585 X=127018567 Y=5525061573 Z=57097066695 M=4688
A=5076 B=5296 C=7952 X=636582470 Y=8977972278 Z=93133678462 M=8542
A=4869 B=5729 C=6621 X=186153306 Y=5560378804 Z=65805383472 M=5628
A=5992 B=3467 C=9135 X=473500137 Y=7771123265 Z=92639273335 M=5369
A=9611 B=6842 C=9224 X=774148508 Y=4860387314 Z=73302983026 M=7846
A=6992 B=9292 C=6567 X=377340385 Y=9569607935 Z=22021089698 M=2579
A=9147 B=6230 C=8598 X=999646297 Y=6009661138 Z=45749388714 M=6759
A=6942 B=4884 C=5752 X=551353120 Y=7662118395 Z=39655533107 M=1222
A=6949 B=4451 C=7373 X=241520838 Y=8962397046 Z=57157890718 M=8623
A=3849 B=4268 C=6898 X=608648352 Y=6997982897 Z=29311313958 M=7438
A=2901 B=7926 C=6252 X=196231688 Y=8717700265 Z=65536766070 M=8967
A=8496 B=4645 C=5643 X=484835473 Y=3729504908 Z=70516137653 M=6194
A=8093 B=5734 C=6765 X=621048064 Y=8572921688 Z=75264173308 M=5619
A=7562 B=3076 C=6418 X=607065006 Y=7494608414 Z=59373832034 M=8270
A=2769 B=3447 C=7449 X=702152095 Y=8173847918 Z=63513687278 M=3189
A=2050 B=6889 C=8430 X=429453337 Y=7319938777 Z=88328641440 M=3531
A=8323 B=4035 C=7596 X=702553804 Y=3773398821 Z=64554764849 M=5345
A=3936 B=8320 C=8765 X=967888293 Y=4863830144 Z=84868165601 M=3560
A=3637 B=3975 C=7440 X=794588983 Y=9759789975 Z=37357749810 M=9632
A=6514 B=8247 C=6543 X=507480569 Y=6749727824 Z=87658532886 M=4073
A=5296 B=6335 C=5477 X=567126125 Y=4023020397 Z=45590987226 M=2472
A=6974 B=4489 C=5424 X=515677638 Y=6424895536 Z=59290102463 M=5411
A=8614 B=5522 C=6781 X=693746346 Y=8954459316 Z=86007437878 M=5760
A=4593 B=4076 C=6217 X=449735202 Y=9176612493 Z=59152036126 M=1504
A=3824 B=9861 C=8074 X=691996778 Y=1729531605 Z=93772662417 M=5189
A=4066 B=3470 C=9103 X=505013147 Y=9228583660 Z=97212449758 M=5192
A=4660 B=7614 C=7988 X=288279329 Y=3620106142 Z=85585753870 M=9785
A=4009 B=9071 C=5041 X=871264413 Y=2460828797 Z=33495551795 M=9341
A=9655 B=8279 C=6998 X=871834385 Y=6925166591 Z=47996923558 M=8194
A=2677 B=5235 C=8661 X=427638722 Y=6284386106 Z=17974510975 M=7279
A=8629 B=9009 C=9601 X=714112605 Y=9769657595 Z=23341279664 M=9005
A=4919 B=9866 C=6528 X=250051217 Y=3242236183 Z=69287110417 M=8497
A=9675 B=3008 C=6889 X=989256294 Y=4168947367 Z=74358512232 M=2741
A=8610 B=5148 C=8052 X=651115823 Y=9083493627 Z=23770463102 M=6163
A=7017 B=8025 C=8183 X=131733183 Y=9462105107 Z=45906036601 M=5487
A=5082 B=7534 C=5230 X=809871579 Y=2857022999 Z=20298582269 M=6911
A=8700 B=4450 C=7881 X=300700615 Y=1812384386 Z=66557422227 M=8688
A=9808 B=4113 C=6657 X=871700648 Y=6604069195 Z=34365828935 M=5915
A=6517 B=3726 C=6693 X=679915851 Y=5649824548 Z=61545122555 M=3246
A=8367 B=5509 C=6196 X=123081612 Y=7708007701 Z=96761354637 M=4933
A=7335 B=6274 C=5628 X=315076379 Y=6099199207 Z=29865161963 M=7186
A=9593 B=5268 C=9763 X=478668736 Y=7145169007 Z=39424190803 M=5181
A=2995 B=8157 C=8541 X=303934033 Y=3144171584 Z=40423927469 M=2013
A=8772 B=9254 C=5805 X=484201892 Y=3714407657 Z=24077867118 M=4158
A=6839 B=6946 C=5321 X=836096384 Y=6591270147 Z=89011590378 M=9366
A=4900 B=5075 C=6579 X=734956449 Y=4717306029 Z=63604227127 M=3788
A=7335 B=6076 C=6959 X=446844123 Y=3408661393 Z=38180520850 M=8356
A=4646 B=9611 C=6279 X=391480379 Y=5931431578 Z=61430850574 M=4666
A=9464 B=6706 C=7361 X=672565096 Y=4616494215 Z=52959504387 M=3720
A=3486 B=9851 C=6778 X=333931391 Y=4026817404 Z=83534270971 M=1820
A=5929 B=6864 C=8650 X=322644282 Y=1757819842 Z=23842711674 M=6856
A=5261 B=8818 C=7698 X=492223558 Y=3879493369 Z=42762531768 M=6745
A=3899 B=8697 C=6877 X=272548518 Y=3248426539 Z=53816509018 M=3852
A=9424 B=8535 C=5314 X=163698075 Y=5748373462 Z=92460761628 M=8504
A=7463 B=8127 C=8743 X=962321497 Y=3083003282 Z=67603267748 M=4475
A=5450 B=6527 C=6179 X=217031748 Y=9953082751 Z=90510647757 M=5865
A=9056 B=9616 C=8340 X=945275997 Y=3745342936 Z=35670161879 M=8134
A=6358 B=5375 C=5473 X=152801546 Y=7071726479 Z=77064356937 M=2178
A=2366 B=3312 C=9000 X=268227705 Y=8938671220 Z=85867493425 M=7328
A=4302 B=7806 C=7069 X=221385696 Y=7875320002 Z=84122132267 M=1994
A=9653 B=8585 C=6892 X=458596052 Y=4383108569 Z=88755826826 M=7428
A=2907 B=7726 C=9496 X=865956659 Y=7917999512 Z=95957076270 M=8667
A=5468 B=9878 C=7890 X=997524802 Y=5670116715 Z=84607818921 M=9369
A=6243 B=8794 C=9863 X=302027177 Y=7354141975 Z=73537359754 M=3213
A=6956 B=7088 C=7249 X=578846480 Y=9919592754 Z=62847112769 M=6043
A=7575 B=4205 C=8606 X=449418685 Y=5592585770 Z=22140564361 M=5504
A=5508 B=8017 C=6812 X=706430525 Y=8842006656 Z=40965453794 M=8443
A=3936 B=8654 C=6196 X=188161850 Y=8147992209 Z=98399059381 M=3033
A=8271 B=7660 C=7109 X=428671202 Y=9685953784 Z=91880264836 M=7578
A=4521 B=8153 C=5535 X=507213479 Y=2409614736 Z=40032951204 M=1779
A=8556 B=4729 C=8173 X=964849060 Y=4900935400 Z=15853500345 M=6991
A=5349 B=3835 C=8173 X=919835454 Y=2249859860 Z=60372827153 M=4427
A=8786 B=9789 C=6035 X=793526653 Y=2073712540 Z=75978773779 M=8602
A=2160 B=6194 C=7645 X=912297456 Y=9225645647 Z=16757949858 M=1739
A=2469 B=4945 C=7243 X=169381086 Y=7369781749 Z=40039972202 M=4746
A=3931 B=8025 C=9956 X=921341060 Y=6109748065 Z=72917630894 M=2133
A=4449 B=4267 C=6775 X=898668503 Y=9235132497 Z=85788618751 M=9820
A=8679 B=7163 C=7137 X=678201863 Y=8700108133 Z=67023916239 M=4105
A=8633 B=7723 C=7816 X=502816574 Y=9029331703 Z=73848944736 M=8335
A=9261 B=4961 C=6018 X=643919248 Y=7490525955 Z=11312442848 M=6150
A=4386 B=8070 C=9304 X=189824218 Y=6659309729 Z=40189634235 M=4841
A=3181 B=6283 C=7173 X=531050949 Y=5946075943 Z=40174928998 M=7732
A=3474 B=6420 C=5985 X=259228230 Y=9046409506 Z=68080273374 M=1635
A=8291 B=3568 C=5681 X=416597141 Y=9687356629 Z=35271198827 M=8477
A=2448 B=7248 C=9705 X=677639606 Y=3577713179 Z=50117202709 M=9065
A=7321 B=7793 C=8517 X=241186192 Y=8034398938 Z=44413018741 M=7677
A=4561 B=3005 C=6817 X=520562380 Y=8625082934 Z=12635897327 M=5542
A=8841 B=6162 C=6328 X=806590922 Y=6914736957 Z=32503027397 M=6916
A=7184 B=7097 C=7266 X=103309313 Y=4055890009 Z=51450487674 M=3986
A=9328 B=9828 C=7273 X=861646339 Y=6659927046 Z=29040215384 M=1268
A=2502 B=9607 C=5497 X=993261743 Y=5710373524 Z=94312243677 M=3018
A=3396 B=4158 C=5392 X=157122184 Y=4602622437 Z=63022756357 M=3710
A=8327 B=6419 C=8199 X=911811039 Y=6032460090 Z=21143251117 M=5655
A=8149 B=7696 C=7580 X=215832790 Y=3700893564 Z=84025671933 M=8038
A=5499 B=5900 C=5578 X=400433215 Y=3604488449 Z=84128915322 M=9992
A=6688 B=8121 C=9715 X=901866440 Y=6754354155 Z=21482295363 M=3512
A=7271 B=5357 C=6694 X=309571991 Y=6409069430 Z=46915884383 M=7712
A=6287 B=6310 C=9470 X=769994743 Y=8206296680 Z=75620867922 M=1636
A=8779 B=9433 C=9005 X=974647857 Y=1515193751 Z=98601252263 M=3599
A=4332 B=4597 C=7858 X=980914812 Y=2853644335 Z=60467818602 M=4318
A=4264 B=6207 C=7538 X=544669278 Y=4347105279 Z=24947216682 M=2619
A=6512 B=6287 C=7254 X=248261745 Y=2592769328 Z=19310668958 M=9991
A=5482 B=6235 C=7498 X=329374698 Y=2673432845 Z=37705103225 M=6745
A=7794 B=5097 C=6947 X=734130490 Y=8926862952 Z=85132606151 M=1182
A=2828 B=3656 C=5214 X=474705871 Y=7783822976 Z=60890646756 M=3142
A=5963 B=7244 C=5986 X=951549754 Y=3530670700 Z=56034471108 M=6094
A=7359 B=4081 C=8956 X=864565618 Y=5060935522 Z=40936182199 M=9799
A=8868 B=6552 C=5603 X=881649169 Y=8511837806 Z=23139676467 M=2138
A=2669 B=7684 C=9905 X=971430297 Y=4218566100 Z=79696438482 M=2365
A=7326 B=4923 C=8934 X=466671175 Y=5321981932 Z=74683485016 M=6474
A=5342 B=5791 C=9390 X=154110133 Y=5979444211 Z=59827748028 M=7856
A=7345 B=8319 C=8244 X=662852571 Y=4616325495 Z=69852137220 M=7164
A=2691 B=4357 C=8950 X=335415717 Y=4754190848 Z=12191622501 M=4942
A=7113 B=3495 C=5574 X=551031250 Y=5768425860 Z=92024583367 M=4926
A=3037 B=6313 C=5921 X=204050281 Y=8607704534 Z=71564291128 M=1464
A=6143 B=6261 C=9811 X=174195336 Y=8786131026 Z=40216938330 M=7525
A=8080 B=6286 C=5367 X=853143372 Y=1875024207 Z=39727984537 M=8110
A=6754 B=8539 C=7770 X=575535694 Y=8052670296 Z=61040491496 M=4098
A=4484 B=8026 C=7600 X=564656496 Y=1650863334 Z=15813135786 M=2100
A=8267 B=8732 C=5825 X=630613725 Y=2563441763 Z=78605850399 M=2111
A=8189 B=8082 C=5239 X=333598206 Y=4022983557 Z=59157834166 M=1365
A=8749 B=8484 C=7985 X=622821080 Y=8702141186 Z=49030018906 M=7473
A=9672 B=9387 C=7953 X=312619640 Y=3247738621 Z=47074505029 M=7649
A=6235 B=3130 C=9855 X=451214704 Y=4018765868 Z=14654267524 M=2007
A=8314 B=8256 C=6953 X=452063513 Y=9865325036 Z=78273421430 M=7741
A=9796 B=7105 C=8362 X=412949168 Y=4535641547 Z=10560675654 M=3902
A=5904 B=7764 C=9346 X=893995083 Y=3705431775 Z=77231624630 M=1224
A=8932 B=8033 C=8185 X=834383144 Y=7816128372 Z=27511586484 M=8561
A=5245 B=5175 C=5662 X=739565835 Y=3805696926 Z=79524618705 M=3753
A=6579 B=6703 C=8619 X=338022336 Y=3119324891 Z=85094485809 M=7352
A=7439 B=3245 C=7312 X=472315322 Y=5947602846 Z=23572263308 M=2946
A=4330 B=3343 C=6891 X=845922921 Y=1705448962 Z=70834492330 M=8855
A=7209 B=9034 C=5094 X=954114411 Y=5389175897 Z=97600422951 M=5385
A=5827 B=5715 C=6287 X=141752556 Y=5896426287 Z=23187384889 M=8045
A=6161 B=6864 C=7061 X=159817503 Y=9392931302 Z=93389955027 M=2773
A=5429 B=8286 C=8354 X=328193514 Y=9868833045 Z=70173577141 M=7595
A=9896 B=9505 C=5164 X=831996797 Y=2588988923 Z=42060490235 M=6296
A=6674 B=4475 C=6046 X=930689773 Y=4511067994 Z=12963417812 M=4806
A=5549 B=8182 C=5067 X=121327412 Y=3155863082 Z=80606881731 M=7557
A=4716 B=8222 C=6223 X=929114850 Y=5914850604 Z=96930516766 M=7511
A=5854 B=3544 C=6265 X=694260076 Y=9660460660 Z=32705523798 M=6626
A=8888 B=6790 C=8502 X=872088136 Y=7996753650 Z=82332082477 M=8809
A=4579 B=6747 C=7076 X=619606910 Y=7755627844 Z=34091754246 M=1766
A=6089 B=5818 C=6806 X=131536594 Y=8826881297 Z=31537918066 M=1688
A=6660 B=5166 C=7438 X=111619904 Y=4827986021 Z=36605863214 M=6290
A=7859 B=8218 C=8661 X=248276287 Y=6720198879 Z=64897746866 M=1915
A=9760 B=5991 C=5855 X=876042632 Y=5855526310 Z=86198960573 M=7764
A=7049 B=7349 C=7685 X=368753789 Y=5598035106 Z=50454806795 M=9609
A=8839 B=5324 C=9606 X=572753202 Y=4795403387 Z=98386808839 M=5898
A=8892 B=5832 C=8115 X=400924720 Y=7658923291 Z=20957879932 M=5445
A=6215 B=4499 C=7078 X=835206425 Y=5875311172 Z=83507219175 M=6756
